stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
7378,60086,רבי עקיבא/אור החיים, רחוב:רבי עקיבא 18 עיר: ביתר עילית רציף:   קומה:  ,31.697975,35.123110,0,,3780
7379,60087,עירייה, רחוב:רבי עקיבא 34 עיר: ביתר עילית רציף:   קומה:  ,31.699203,35.125073,0,,3780
7380,60088,מכון לציון ברינה, רחוב:שדרות דרך האר''י  עיר: ביתר עילית רציף:   קומה:  ,31.701021,35.127023,0,,3780
7381,60089,מעזריטש/שדרות דרך האר''י, רחוב:המגיד ממעזריטש 4 עיר: ביתר עילית רציף:   קומה:  ,31.703710,35.125227,0,,3780
7382,60090,מעזריטש/חיי יצחק, רחוב:המגיד ממעזריטש 14 עיר: ביתר עילית רציף:   קומה:  ,31.702288,35.121916,0,,3780
7383,60091,מעזריטש/הר''ן, רחוב:המגיד ממעזריטש 26 עיר: ביתר עילית רציף:   קומה:  ,31.702523,35.119505,0,,3780
7384,60092,מרכז מסחרי לב ביתר, רחוב:המגיד ממעזריטש 38 עיר: ביתר עילית רציף:   קומה:  ,31.703105,35.117263,0,,3780
7385,60093,גני ילדים בית יעקב, רחוב:המגיד ממעזריטש 54 עיר: ביתר עילית רציף:   קומה:  ,31.701427,35.115156,0,,3780
7386,60094,מעזריטש/חב''ד, רחוב:המגיד ממעזריטש 80 עיר: ביתר עילית רציף:   קומה:  ,31.700302,35.111049,0,,3780
7387,60095,מעזריטש/מהרי''ץ, רחוב:המגיד ממעזריטש 134 עיר: ביתר עילית רציף:   קומה:  ,31.699744,35.108876,0,,3780
7389,60097,קדושת לוי / הרב שך, רחוב:קדושת לוי 67 עיר: ביתר עילית רציף:   קומה:  ,31.702595,35.110378,0,,3780
7390,60098,קדושת לוי ב, רחוב:קדושת לוי 53 עיר: ביתר עילית רציף:   קומה:  ,31.703878,35.112481,0,,3780
7391,60099,קדושת לוי א, רחוב:קדושת לוי 45 עיר: ביתר עילית רציף:   קומה:  ,31.704768,35.114082,0,,3780
7392,60100,קדושת לוי/שלום רב, רחוב:קדושת לוי 29 עיר: ביתר עילית רציף:   קומה:  ,31.705976,35.118448,0,,3780
7393,60101,קדושת לוי/אוהל שרה, רחוב:קדושת לוי 17 עיר: ביתר עילית רציף:   קומה:  ,31.706140,35.120198,0,,3780
7394,60102,מרכז מסחרי כיכר העיר, רחוב:הר''ן 6 עיר: ביתר עילית רציף:   קומה:  ,31.705030,35.116959,0,,3780
7395,60103,מרכז מסחרי לב ביתר, רחוב:הר''ן 16 עיר: ביתר עילית רציף:   קומה:  ,31.703480,35.117999,0,,3780
7396,60104,עירייה, רחוב:רבי עקיבא 35 עיר: ביתר עילית רציף:   קומה:  ,31.699809,35.125617,0,,3780
7397,60105,רבי עקיבא / סלונים, רחוב:רבי עקיבא 17 עיר: ביתר עילית רציף:   קומה:  ,31.698043,35.123036,0,,3780
7398,60106,בית יעקב אהבת חסד, רחוב:רבי אלעזר המודעי 19 עיר: ביתר עילית רציף:   קומה:  ,31.696679,35.120352,0,,3780
